,index,AT_load_actual_entsoe_power_statistics,AT_load_actual_entsoe_transparency,AT_price_day_ahead,AT_solar_generation_actual,AT_wind_onshore_generation_actual,AT_windspeed_10m,AT_temperature,AT_radiation_direct_horizontal,AT_radiation_diffuse_horizontal
6914,94619,7154.0,6180.0,33.0,242.0,17.0,1.75,8.996,121.8118,241.3365
6915,94620,6859.0,5897.0,30.0,261.0,6.0,1.76,9.493,112.9242,243.3816
6916,94621,6709.0,5742.0,30.0,252.0,4.0,1.74,9.626,82.1522,225.7434
6917,94622,6713.0,5704.0,29.0,208.0,4.0,1.72,9.389,46.6466,184.88
6918,94623,6983.0,5882.0,29.0,137.0,7.0,1.66,8.679,14.5141,114.7943
6919,94624,7487.0,6220.0,34.0,63.0,8.0,1.3,7.53,2.5992,42.7846
6920,94625,7941.0,6535.0,43.0,20.0,10.0,1.17,6.078,0.065,2.065
6921,94626,7671.0,6607.0,46.0,1.0,9.0,1.16,5.519,0.0,0.0
6922,94627,7256.0,6288.0,43.0,0.0,43.0,1.13,5.278,0.0,0.0
6923,94628,6799.0,5893.0,38.0,0.0,102.0,1.12,5.063,0.0,0.0
6924,94629,6786.0,5943.0,36.0,0.0,118.0,1.24,4.85,0.0,0.0
6925,94630,6322.0,5674.0,31.0,0.0,147.0,1.32,4.715,0.0,0.0
6926,94631,6048.0,5305.0,30.0,0.0,180.0,1.35,4.592,0.0,0.0
6927,94632,5875.0,5100.0,28.0,0.0,227.0,1.4,4.424,0.0,0.0
6928,94633,5774.0,5012.0,27.0,0.0,279.0,1.42,4.282,0.0,0.0
6929,94634,5776.0,4970.0,26.0,0.0,326.0,1.45,4.079,0.0,0.0
6930,94635,6155.0,5225.0,26.0,0.0,304.0,1.46,3.883,0.0,0.0
6931,94636,7236.0,5919.0,31.0,0.0,299.0,1.51,3.577,0.0,0.0
6932,94637,8802.0,7101.0,45.0,0.0,335.0,1.61,3.342,0.0,0.0
6933,94638,9650.0,8041.0,59.0,10.0,290.0,1.78,3.227,0.0297,1.2488
6934,94639,9939.0,8343.0,61.0,34.0,316.0,2.11,3.668,1.0789,31.377
6935,94640,9995.0,8349.0,62.0,79.0,283.0,2.39,4.277,4.5287,86.6205
6936,94641,10200.0,8408.0,60.0,125.0,307.0,2.56,4.987,9.5281,139.9872
6937,94642,10257.0,8441.0,57.0,151.0,344.0,2.86,5.602,13.5229,177.4699
6938,94643,9927.0,8254.0,52.0,169.0,475.0,3.09,6.06,17.0406,202.1358
6939,94644,9941.0,8183.0,51.0,181.0,619.0,3.27,6.287,16.6625,201.5626
6940,94645,9859.0,8058.0,48.0,167.0,686.0,3.43,6.308,13.2603,179.0888
6941,94646,9820.0,8010.0,48.0,133.0,766.0,3.48,6.053,7.7728,134.49
6942,94647,9784.0,7942.0,48.0,91.0,932.0,3.43,5.57,3.5753,82.5974
6943,94648,10003.0,8096.0,52.0,43.0,942.0,3.26,4.87,1.0779,32.9065
6944,94649,10134.0,8410.0,60.0,14.0,896.0,3.34,3.968,0.0683,2.1506
6945,94650,9513.0,8213.0,63.0,0.0,1011.0,3.46,3.538,0.0,0.0
6946,94651,8765.0,7605.0,53.0,0.0,992.0,3.43,3.25,0.0,0.0
6947,94652,7990.0,6964.0,44.0,0.0,1044.0,3.47,2.946,0.0,0.0
6948,94653,7711.0,6764.0,40.0,0.0,1019.0,3.55,2.709,0.0,0.0
6949,94654,7153.0,6299.0,34.0,0.0,1031.0,3.6,2.579,0.0,0.0
6950,94655,6773.0,5886.0,37.0,0.0,1040.0,3.64,2.457,0.0,0.0
6951,94656,6513.0,5617.0,33.0,0.0,1174.0,3.64,2.391,0.0,0.0
6952,94657,6423.0,5496.0,32.0,0.0,1284.0,3.62,2.398,0.0,0.0
6953,94658,6394.0,5368.0,31.0,0.0,1419.0,3.57,2.425,0.0,0.0
6954,94659,6701.0,5526.0,32.0,0.0,1557.0,3.49,2.415,0.0,0.0
6955,94660,7719.0,6186.0,36.0,0.0,1580.0,3.41,2.287,0.0,0.0
6956,94661,9158.0,7389.0,48.0,0.0,1622.0,3.31,2.025,0.0,0.0
6957,94662,9931.0,8263.0,60.0,11.0,1589.0,3.23,1.774,0.0183,0.6823
